# Omega_Matter_0 = 0.302   | Omega_Lambda_0 = 0.698   | Omega_K_0 = 0.0   | h = 1.0   |
# RA  DEC  CZ_obs  Mr  HaloID  logMHalo  NGal_H  FLAG  CZ_real  DIST_C  Vp_tot  Vp_tang  Morph  logMstar  r_mag  u_mag  FSMGR  Gal_Match_flag  u_r  mhi_mass  GroupID  Group_NGals  Group_Rproj  Group_CZdisp  Group_logMHalo  Group_Gal_Type
  141.940558     17.033201     2650.67690     -18.800         284912     11.390           1       1    2796.632604    0.00000000e+00     402.91996     375.55483        LT      9.779854    -18.912300    -16.732182      0.153223         ECO      2.180119    1.949847e+08              29           1      0.000000      0.000000     11.246           1
  142.293349     44.636027     3536.51570     -19.459         285027     11.421           1       1    4011.339702    0.00000000e+00     549.62835     276.82756        LT      9.800667    -19.459410    -18.133541      0.197674         ECO      1.325869    5.370314e+09              30           1      0.000000      0.000000     11.549           1
  210.591566      0.186068     3553.09861     -19.232         301956     11.476           2       0    3291.195598    7.90715925e-02     514.27543     442.59014        LT      9.250000    -19.204481    -18.041805      2.037537         ECO      1.162676    5.370320e+09              31           2      0.025788     18.000000     11.917           0
  210.591469      0.243647     3578.86308     -20.034         301956     11.476           2       1    3295.645460    0.00000000e+00     829.05033     779.17407        LT      9.592996    -20.031788    -18.609806      0.347519         ECO      1.421982    4.897794e+09              31           2      0.025788     18.000000     11.917           1
  211.293404      1.005113     3607.35436     -21.194         301976     13.236           6       0    3287.194949    4.94878177e-01     728.10532     653.93831        LT      9.770000    -21.196857    -19.442711      0.255963         ECO      1.754147    3.548129e+09              32           1      0.000000      0.000000     12.197           1
  210.733418      1.110554     3301.45141     -22.802         301976     13.236           6       1    3275.496512    0.00000000e+00     571.06713     570.47701        ET     11.188245    -22.820539    -20.510841      0.022677         ECO      2.309698    1.023293e+10              33           7      0.144699    119.670000     13.448           1
  210.914152      1.497781     2991.12847     -21.005         301976     13.236           6       0    3277.579476    3.50238199e-01     434.78912     327.08928        ET      9.290000    -21.065977    -18.842827      0.166512         ECO      2.223150    1.479108e+09              33           7      0.144699    119.670000     13.448           0
  210.710411      0.851498     2978.30314     -20.204         301976     13.236           6       0    3273.333698    2.14488737e-01     528.10346     438.00712        LT      9.590000    -20.242975    -17.952793      0.203726         ECO      2.290182    6.760824e+08              33           7      0.144699    119.670000     13.448           0
  210.828075      1.093714     3250.11087     -20.594         301976     13.236           6       0    3295.741486    2.98949974e-01     552.83765     550.95128        LT      9.700000    -20.613840    -18.854122      0.309441         ECO      1.759718    5.888438e+09              33           7      0.144699    119.670000     13.448           0
  210.709635      1.076123     3152.37751     -20.403         301976     13.236           6       0    3274.488574    3.70533014e-02     221.49106     184.78956        LT      9.870000    -20.395529    -18.946880      0.397494         ECO      1.448648    9.772367e+09              33           7      0.144699    119.670000     13.448           0
